# segments for voice/raw/Scene_6.wav
# total duration: 67.93s, speech duration: 28.51s
start	end	duration
2.77	2.77	0.00
3.95	5.28	1.34
6.92	8.16	1.24
9.40	11.18	1.78
11.63	13.69	2.06
14.13	15.26	1.13
16.54	17.62	1.08
18.30	19.87	1.58
21.10	25.48	4.38
26.80	27.66	0.86
28.14	29.00	0.87
30.67	31.15	0.48
32.13	32.88	0.75
33.90	35.68	1.78
36.21	36.57	0.37
37.38	38.54	1.16
40.33	41.37	1.04
42.18	44.83	2.65
45.86	47.23	1.38
51.94	52.00	0.06
52.86	53.00	0.14
53.54	53.57	0.03
54.27	54.54	0.27
55.81	56.23	0.42
57.98	58.35	0.37
60.16	60.49	0.33
60.96	61.06	0.10
63.88	64.24	0.36
65.58	66.10	0.52
67.93	67.93	0.00
